Molecule ChEMBL ID,Smiles,pChEMBL Value,Comment
CHEMBL223292,Cc1ccc(Cl)c2c1[C@@H]1CNCCN1C2=O,,
CHEMBL4063091,COc1ccc(F)cc1C1CC1CNCC1CC1.Cl,5.37,
CHEMBL4102683,COc1ccc(F)cc1C1CC1CNCc1ccccc1O.Cl,7.11,
CHEMBL4075150,COc1ccccc1CCNCC1CC1c1cc(F)ccc1OC.Cl,6.51,
CHEMBL4094164,COc1ccc(F)cc1C1CC1CNCc1cccnc1OC,5.89,
CHEMBL4095562,COc1ccc(F)cc1[C@@H]1C[C@H]1CNCc1cccs1.Cl,6.17,
CHEMBL4093447,COc1cccc(CNC[C@@H]2C[C@H]2c2cc(F)ccc2OC)c1.Cl,5.17,
CHEMBL4102342,O=C(c1csc(-c2cccc(Cl)c2Cl)n1)N1CCCOCC1,,
CHEMBL4080787,Cc1nc(-c2cccc(Cl)c2Cl)sc1C(=O)N1CCOCC1,,
CHEMBL4067417,O=C(c1nc(-c2cccc(Cl)c2Cl)cs1)N1CCOCC1,,
CHEMBL4059943,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N1CCNCC1,,
CHEMBL4062681,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N(C)CCc1cccnc1,,
CHEMBL4082829,Cc1sc(-c2cccc3ccccc23)cc1C(=O)N1CCC(CO)CC1,,
CHEMBL4085497,Cc1[nH]c(-c2cccc3ccccc23)cc1C(=O)N1CCC(CO)CC1,,
CHEMBL4066653,Cn1cc(-c2cccc3ccccc23)nc1C(=O)N1CCC(CO)CC1,,
CHEMBL4070587,CCn1nc(-c2cccc3ccccc23)cc1-c1cncn1C,,
CHEMBL4104126,CCn1nc(-c2cccc3ccccc23)cc1-c1ccccn1,,
CHEMBL4073363,CCn1nc(-c2cccc3ccncc23)cc1-c1ccc(N)nn1,,
CHEMBL4088662,Cc1sc(-c2cccc(Cl)c2Cl)nc1C(=O)N1CCOCC1,,
CHEMBL4081550,CCn1nc(-c2cccc3ccccc23)cc1-c1ccnn1C,,
CHEMBL4100216,CCn1nc(-c2cccc3cccnc23)cc1-c1cccnn1,6.82,
CHEMBL221113,CCc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,5.93,Agonist
CHEMBL2337504,CCc1cc(C)c2c(c1)[C@H]1CNC[C@@H]1NC2=O.Cl,6.07,
CHEMBL2337494,Cc1cccc2c1C(=O)N[C@H]1CNC[C@H]21.Cl,6.9,
CHEMBL2337105,Cc1cc(C(C)C)cc2c1C(=O)N[C@H]1CNC[C@H]21.Cl,,
CHEMBL3609167,OCCN1CCN(c2nc(Nc3cccc(O)c3)c3ccccc3n2)CC1,,Not Active
CHEMBL76307,C[C@H](N)CN1CCc2ccc(Cl)cc21,6.22,
CHEMBL5173321,COc1cc(CCNC2COc3ccccc32)c(OC)cc1C#N,6.97,
CHEMBL5170895,COc1cc(CCNCc2ccccc2OC)c(OC)cc1C#N,8.17,
CHEMBL5401685,C1=C(c2n[nH]c3ccc(-c4ccccc4)cc23)CNCC1,,
CHEMBL569342,O=c1ccc(N2CCNCC2)nn1CCOc1ccccc1C(F)(F)F,5.96,
CHEMBL180815,COc1cc2c(cc1Br)C(C)CNCC2,7.1,
CHEMBL4760851,C=CCOc1ccc2oc(CC)cc2c1[C@@H]1C[C@H]1CN.Cl,,Not Active
CHEMBL4750329,c1cc2c(c(CC3CCC3)n1)CC[C@@H]1CNCCN21,,
CHEMBL3982376,CC(N)C/C=C/c1ccccc1,5.25,
CHEMBL3963971,C[C@H](N)C/C=C\c1ccccc1,5.8,
CHEMBL3896023,C[C@@H](N)C/C=C\c1ccccc1,,
CHEMBL4063613,COCCNC(=O)c1sc(-c2cccc3ccccc23)nc1C,,
CHEMBL4101668,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N(CCO)C(C)C,,
CHEMBL223468,CCc1ccc2c(c1OC)C(=O)N1CCNC[C@@H]21,6.91,Agonist
CHEMBL178566,C[C@H]1CNCCc2ccc(Cl)c(Cl)c21,5.62,
CHEMBL360968,CCOc1cc2c(cc1Br)C(C)CNCC2,6.96,
CHEMBL2397905,CCc1cccc2c1C[C@@H]1CNCCN1C2=O,,
CHEMBL2397878,COc1ccc2c(c1)C(=O)N1CCNC[C@H]1C2,7.33,
CHEMBL2397885,C[C@H]1CN2C(=O)c3ccccc3C[C@@H]2CN1,,
CHEMBL2397882,O=C1c2ccccc2C[C@H]2CNCCN12,,Not Determined
CHEMBL223272,C[C@@H]1CNC[C@H]2c3cccc(C(F)(F)F)c3C(=O)N12,7.04,Agonist
CHEMBL5439312,[2H]C([2H])(Cc1n[nH]c2ccc(OC)cc12)N(C)C,5.49,
CHEMBL5425772,CN(C)CCc1n[nH]c2ccc(O)cc12,5.66,
CHEMBL5404610,Cn1nc(C2=CCCNC2)c2ccccc21,6.49,
CHEMBL209106,Fc1cccc(N2CC[C@H]3CNC[C@H]32)c1,5.95,
CHEMBL209714,FC(F)(F)c1cccc(N2CC[C@H]3CNC[C@H]32)c1,6.78,
CHEMBL5405688,COc1ccc2[nH]nc(CCN(C)C)c2c1,5.64,
CHEMBL3769968,C=CCOc1cc(F)c(F)cc1C1CC1CN.Cl,6.08,
CHEMBL4516935,Cl.NC[C@H]1C[C@]1(F)c1cccc(Cl)c1,7.64,
CHEMBL3330640,CCNCCc1c[nH]c2ccccc12,7.42,
CHEMBL4083432,O=C(c1csc(-c2cccc(Cl)c2Cl)n1)N1CC2CC1CO2,,
CHEMBL4059884,O=C(c1csc(-c2ccc(Cl)cc2Cl)n1)N1CCOCC1,,
CHEMBL3945529,CC(N)CC#Cc1ccccc1,,
CHEMBL3770753,COc1cc(F)c(F)cc1C1CC1CN.Cl,7.09,
CHEMBL3770058,Cl.NCC1CC1c1c(OCCF)ccc(Cl)c1F,6.03,
CHEMBL3770011,Cl.NCC1CC1c1c(OCCF)ccc(Cl)c1Cl,6.02,
CHEMBL426235,CCC1CNCCc2cc(OC)c(Br)cc21,7,
CHEMBL3769704,C=CCOc1ccc(F)c(Cl)c1C1CC1CN.Cl,,Not Active
CHEMBL3416057,Cl.NC[C@H]1C[C@@H]1c1cc(Cl)ccc1OCC(F)F,5.74,
CHEMBL374562,Cc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,6.78,Agonist
CHEMBL387344,O=C1c2c(O)cccc2C2CNCCN12,,
CHEMBL2022180,COc1ccc(-c2cccc(F)c2)cc1[C@H]1C[C@@H]1CN.Cl,,Not Active
CHEMBL2022182,CCCCc1ccc(-c2ccc(OC)c([C@H]3C[C@@H]3CN)c2)cc1.Cl,,Not Active
CHEMBL220521,COc1ccc(Cl)c2c1C(=O)N1CCNC[C@@H]21,,Not Determined
CHEMBL375575,O=C1c2c(C(F)(F)F)ccc(Cl)c2[C@@H]2CNCCN12,,
CHEMBL4790992,C=CCOc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,6.67,
CHEMBL180166,COc1cc2c(cc1Br)CCNCC2,7,
CHEMBL223628,CC(C)Oc1cccc2c1C(=O)N1CCNCC21,6.35,Agonist
CHEMBL223271,C[C@@H]1CN2C(=O)c3c(cccc3C(F)(F)F)[C@@H]2CN1,,
CHEMBL223466,CCc1ccc(Cl)c2c1[C@@H]1CNCCN1C2=O,5.48,Agonist
CHEMBL220274,O=C1c2c(cccc2C(F)(F)F)C2CNCCN12,6.88,Agonist
CHEMBL219734,O=C1c2c(OC(F)(F)F)cccc2C2CNCCN12,7.06,Agonist
CHEMBL375302,CC[C@@H]1NCCN2C(=O)c3c(cccc3C(F)(F)F)[C@H]12,6.9,Agonist
CHEMBL374436,CCc1cc2c(cc1OC)C(=O)N1CCNC[C@@H]21,6.43,Agonist
CHEMBL223441,CC(=O)c1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNC[C@@H]21,,Not Determined
CHEMBL374463,O=C1c2c(cc(Cl)cc2C(F)(F)F)[C@@H]2CNCCN12,,Not Determined
CHEMBL4096385,CCn1nc(-c2cccc3ccccc23)cc1-c1ncnn1C,,
CHEMBL4086216,CCn1nc(-c2cccc3ccccc23)cc1-c1ncccn1,,
CHEMBL1643674,CCNc1c2c(nc3ccnn13)CCNCC2,6.86,
CHEMBL1643671,c1cc2nc3c(c(N4CCCC4)n2n1)CCNCC3,5.64,
CHEMBL4757142,Cl.NC[C@@H]1C[C@H]1c1c(OCCF)ccc2c1CCO2,5.71,
CHEMBL1093698,C[C@H]1CC[C@@H](Oc2c(F)cc(CNC(=O)[C@@H]3CCCN3)cc2F)CC1,6.82,
CHEMBL178365,C[C@@H]1CNCCc2ccc(Cl)cc21,6.58,
CHEMBL570023,C[C@@H]1CNCCN1c1ccc(=O)n(CCOc2ccccc2Cl)n1,6.94,
CHEMBL2397911,CCc1cc(C)c2c(c1)C[C@@H]1CNCCN1C2=O,,
CHEMBL2393244,Cl.Fc1cccc(Nc2nc(Cc3ccccc3)nc3c2CCNCC3)c1,7.55,
CHEMBL179378,COc1cc2c(cc1I)C(C)CNCC2,7.21,
CHEMBL4466591,Cl.NC[C@H]1C[C@]1(F)c1cccc(F)c1,8.57,
CHEMBL4457840,Cl.NCC1C(c2ccccc2)C1(F)F,5.43,
CHEMBL4515411,COc1ccc(F)cc1C1(F)CC1CN.Cl,6.45,
CHEMBL2331793,CCOc1noc2c1CCNCC2,5.1,
CHEMBL2331798,CCOc1noc2c1CCNC2,,
CHEMBL1643677,Fc1cccc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)c1,7.5,
CHEMBL1643676,Fc1ccccc1OC1CN(c2c3c(nc4ccnn24)CCNCC3)C1,6.19,
CHEMBL1643859,O=C1Cc2cc(OC3CN(c4c5c(nc6ccnn46)CCNCC5)C3)ccc2N1,6.12,
CHEMBL1643857,c1cc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)ccn1,5.91,
CHEMBL1643854,COc1ccc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)cc1,5.58,
CHEMBL1643679,COc1ccccc1OC1CN(c2c3c(nc4ccnn24)CCNCC3)C1,5.57,
CHEMBL3769968,C=CCOc1cc(F)c(F)cc1C1CC1CN.Cl,6.31,
CHEMBL3770963,COc1ccc(F)c(F)c1C1CC1CN.Cl,6.34,
CHEMBL4877198,[2H]C([2H])([2H])N(C([2H])([2H])[2H])C([2H])([2H])C([2H])([2H])c1c[nH]c2cccc(O)c12,7.13,
CHEMBL4863306,[2H]C([2H])([2H])N(C([2H])([2H])[2H])C([2H])([2H])C([2H])([2H])c1c[nH]c2cccc(OCc3ccccc3)c12,7.14,
CHEMBL5193914,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3c1cccs1,6.46,
CHEMBL5207529,COc1cc(OC)c(C2NCCc3c2[nH]c2ccc(Cl)cc32)cc1OC.Cl,8.77,
CHEMBL494947,Clc1cccc(COc2cncc(N3CCNCC3)n2)c1,7.12,
CHEMBL231350,CC(C)Nc1cc2c(cc1NS(=O)(=O)c1ccc(-c3ccc(Cl)cc3)cc1)CCN(C)CC2,,
CHEMBL609306,Clc1ccccc1O[C@H]1CCc2ccc(N3CCNCC3)nc21,7.06,
CHEMBL593545,Clc1ccccc1O[C@@H]1CCCc2ccc(N3CCNCC3)nc21,6.24,
CHEMBL570937,O=c1ccc(N2CCNCC2)nn1CCOc1ccccc1Cl,6.59,
CHEMBL3770753,COc1cc(F)c(F)cc1C1CC1CN.Cl,7.09,
CHEMBL3770011,Cl.NCC1CC1c1c(OCCF)ccc(Cl)c1Cl,6.02,
CHEMBL3769581,C=CCOc1ccc(Cl)c(Cl)c1C1CC1CN.Cl,,Not Active
CHEMBL2331794,c1ccc(COc2noc3c2CCNCC3)cc1,6.61,
CHEMBL2331807,O=c1c2c(on1Cc1ccccc1)CCNCC2,6.26,
CHEMBL2331802,O=c1c2c(on1Cc1ccccc1)CCCNC2,,
CHEMBL309689,Oc1noc2c1CCNCC2,,
CHEMBL494947,Clc1cccc(COc2cncc(N3CCNCC3)n2)c1,6.85,
CHEMBL501526,Cl.NC[C@H]1C[C@@H]1c1ccc(Cl)cc1F,6.11,
CHEMBL3609170,Fc1ccccc1Nc1nc(N2CCNCC2)nc2ccccc12,,Not Active
CHEMBL2337495,Cl.O=C1N[C@H]2CNC[C@@H]2c2ccccc21,,
CHEMBL2022178,COc1ccc(-c2ccc(C)cc2)cc1[C@H]1C[C@@H]1CN.Cl,,Not Active
CHEMBL1643856,c1cncc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)c1,7.2,
CHEMBL3770599,Cl.NCC1CC1c1c(OCCF)ccc(F)c1F,5.63,
CHEMBL3770689,COc1cc(F)c(Cl)cc1C1CC1CN.Cl,6.63,
CHEMBL3769581,C=CCOc1ccc(Cl)c(Cl)c1C1CC1CN.Cl,6.37,
CHEMBL2393231,CNc1nc(N2CCN(C)CC2)nc2c1CCNCC2.Cl,5.92,
CHEMBL2397906,O=C1c2cccc(C(F)(F)F)c2C[C@@H]2CNCCN12,,Not Determined
CHEMBL2397903,N#Cc1ccc2c(c1)C[C@@H]1CNCCN1C2=O,,
CHEMBL2397899,CCCc1ccc2c(c1)C[C@@H]1CNCCN1C2=O,,
CHEMBL2397898,CCc1ccc2c(c1)C[C@@H]1CNCCN1C2=O,,
CHEMBL80482,C[C@H](N)CN1CCc2ccc3c(c21)CCCO3,6.9,
CHEMBL475641,Cc1ccc([C@H]2C[C@@H]2CN)c(Br)c1.Cl,6.33,
CHEMBL4786831,CC(C)Oc1ccc2occc2c1[C@@H]1C[C@H]1CN.Cl,6.03,
CHEMBL3769499,C=CCOc1ccc(F)c(F)c1C1CC1CN.Cl,,Not Active
CHEMBL3770011,Cl.NCC1CC1c1c(OCCF)ccc(Cl)c1Cl,,Not Active
CHEMBL3769968,C=CCOc1cc(F)c(F)cc1C1CC1CN.Cl,6.31,
CHEMBL3770599,Cl.NCC1CC1c1c(OCCF)ccc(F)c1F,,Not Active
CHEMBL478,Clc1cccc(N2CCNCC2)c1,6.78,
CHEMBL572252,C[C@@H](COc1ccccc1Cl)n1nc(N2CCNCC2)ccc1=O,7.19,
CHEMBL2331800,CCn1oc2c(c1=O)CNCC2,,
CHEMBL2331794,c1ccc(COc2noc3c2CCNCC3)cc1,6.62,
CHEMBL2331793,CCOc1noc2c1CCNCC2,5.1,
CHEMBL2331801,O=c1c2c(on1Cc1ccccc1)CCNC2,,
CHEMBL309689,Oc1noc2c1CCNCC2,,
CHEMBL450178,C#Cc1cccc([C@H]2C[C@@H]2CN)c1.Cl,,
CHEMBL1091106,CC1(C)CCC(Oc2cc(F)c(CNC(=O)[C@@H]3CCCN3)cc2F)CC1,6.89,
CHEMBL5209080,COc1ccccc1C1NCCc2c1[nH]c1ccc(Cl)cc21.Cl,6.68,
CHEMBL5179287,Cc1ccc(C2NCCc3c2[nH]c2ccc(Cl)cc32)c(C)c1.Cl,6.25,
CHEMBL5187568,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1O,6.98,
CHEMBL5188736,Cl.Oc1ccc(C2NCCc3c2[nH]c2ccc(O)cc32)cc1,6.8,
CHEMBL5200288,Cc1ccc(C2NCCc3c2[nH]c2ccc(O)cc32)cc1.Cl,6.5,
CHEMBL5208018,Cl.Oc1ccc2[nH]c3c(c2c1)CCNC3c1cc(F)ccc1O,6.66,
CHEMBL4790446,Cl.Clc1ccc2[nH]c3c(c2c1)CCNC3c1ccccc1Cl,7.89,
CHEMBL5207633,Cc1ccc(C2NCCc3c2[nH]c2ccc(F)cc32)cc1.Cl,6.68,
CHEMBL5188655,Cl.Fc1ccc2[nH]c3c(c2c1)CCNC3c1cccnc1F,6.41,
CHEMBL5178562,COc1ccc2cc(C3NCCc4c3[nH]c3ccc(Cl)cc43)ccc2c1.Cl,5.88,
CHEMBL5205884,Cl.Fc1ccc2[nH]c3c(c2c1)CCNC3C(c1ccccc1)c1ccccc1,5.72,
CHEMBL2397910,Cc1cc(C)c2c(c1)C[C@@H]1CNCCN1C2=O,5.98,
